timestamp,vwap,actual_vwap,lstm_forecast,trf_forecast
2025-05-07 05:22:00,200.4101,200.4101,200.87358,203.09505
2025-05-07 05:23:00,200.3593,200.3593,200.80597,202.36543
2025-05-07 05:24:00,200.2905,200.2905,200.84106,201.61496
2025-05-07 05:25:00,200.3027,200.3027,201.00568,202.04736
2025-05-07 05:26:00,200.2687,200.2687,200.64638,202.20609
2025-05-07 05:27:00,200.229,200.229,200.50273,202.01701
2025-05-07 05:28:00,200.19795,200.19795,200.42667,201.48936
2025-05-07 05:29:00,200.1669,200.1669,200.92227,203.29941
2025-05-07 05:30:00,200.1815,200.1815,200.43742,202.35403
2025-05-07 05:31:00,200.1961,200.1961,200.4725,202.35605
2025-05-07 05:32:00,200.1637,200.1637,201.09393,202.05177
2025-05-07 05:33:00,200.16,200.16,201.02824,202.3301
