timestamp,prophet_vwap,arima_vwap
2025-05-08 10:56:00-04:00,211.29788184985003,198.529299242212
2025-05-08 10:57:00-04:00,211.29398195815995,198.529299242212
2025-05-08 10:58:00-04:00,211.29004349780814,198.529299242212
2025-05-08 10:59:00-04:00,211.2860687683041,198.529299242212
2025-05-08 11:00:00-04:00,211.28206004727136,198.529299242212
2025-05-08 11:01:00-04:00,211.27801958972248,198.529299242212
2025-05-08 11:02:00-04:00,211.2739496287748,198.529299242212
2025-05-08 11:03:00-04:00,211.26985237453803,198.529299242212
2025-05-08 11:04:00-04:00,211.26573001491587,198.529299242212
2025-05-08 11:05:00-04:00,211.2615847146574,198.529299242212
2025-05-08 11:06:00-04:00,211.25741861517696,198.529299242212
2025-05-08 11:07:00-04:00,211.25323383495345,198.529299242212
2025-05-08 11:08:00-04:00,211.24903246844076,198.529299242212
